feature,importance
tasa_falla_ult_3d,0.14528508
count_regb_ult_60d,0.0533052
tasa_falla_ult_5d,0.040876787
tiene_repuestos_evento,0.03570085
correctivos_ult_3d,0.035193987
eventos_ult_3d,0.033950355
filas_correctivo_ult_7d,0.026159307
eventos_ult_5d,0.023106115
correctivos_ult_5d,0.020946769
filas_correctivo_evento,0.020906616
num_keywords_tecnicos_evento,0.018355725
repuestos_descripciones_unicas_evento,0.01460697
eventos_ult_7d,0.013023175
count_correctivo_ult_7d,0.013003618
correctivos_ult_7d,0.011262145
inspeccion_total_highs_evento,0.010873459
count_regb_ult_30d,0.010684044
count_preventivo_ult_30d,0.010298018
count_keyword_correa_ult_30d,0.009756352
count_causa_varios_ult_3d,0.0095509095
tasa_falla_ult_7d,0.0088811135
count_keyword_sensor_ult_30d,0.008713993
count_it_ult_7d,0.008602514
dias_desde_ultimo_regb,0.008514376
tiene_uuid_gestion_evento,0.007238151
count_correctivo_ult_180d,0.007074599
count_preventivo_ult_60d,0.0065402375
count_unidad_11_ult_7d,0.006424607
count_it_ult_60d,0.0063518304
count_regb_ult_180d,0.0063488805
dias_desde_ultima_falla,0.0061832187
count_causa_varios_ult_7d,0.0061735
count_preventivo_ult_7d,0.0061530448
count_it_ult_180d,0.005486187
inspeccion_total_mediums_evento,0.0050110524
num_keywords_tecnicos_ult_30d,0.004961207
count_it_ult_30d,0.004935421
count_correctivo_ult_60d,0.004689588
no_presentado_ult_30d,0.004503133
keyword_espejo,0.0044811126
repuestos_count_evento,0.0044408664
count_keyword_espejo_ult_30d,0.004414506
count_causa_varios_ult_5d,0.004335853
keyword_freno,0.004084975
tiene_preventivo,0.0040297857
count_regb_ult_7d,0.003852715
count_sistema_varios_ult_7d,0.0037805163
highs_regb_ult_30d,0.0037681453
uuid_gestion_unique_count_evento,0.003762138
keyword_motor,0.0037042906
keyword_correa,0.0036977713
count_keyword_refrigerante_ult_30d,0.0036245182
inspeccion_total_lows_evento,0.003616644
count_keyword_freno_ult_30d,0.0035074516
count_unidad_15_ult_7d,0.0034487292
repuestos_codigos_unicos_evento,0.0034418025
count_unidad_19_ult_7d,0.003418635
keyword_sensor,0.0033656696
count_unidad_15_ult_30d,0.003287089
dias_desde_ultimo_it,0.003187282
count_taller_pie_andino_ult_7d,0.0031845872
count_taller_pie_andino_ult_30d,0.003041082
count_taller_el_conquistador_ult_7d,0.0030353717
keyword_refrigerante,0.003000476
edad_bus_dias,0.0029973434
num_causas_distintas_ult_30d,0.0029536327
count_causa_correctivo_ult_3d,0.0029199782
repuestos_count_ult_30d,0.0028959592
keyword_vidrio,0.002892041
count_keyword_espejo_ult_7d,0.002742285
