run_name,window_days,use_smote,threshold,precision_class_1,recall_class_1,f1_class_1,support_class_1
xgb_3d_sin_smote,3,False,0.3,0.37586292938534477,0.928879753340185,0.5351729038370441,4865.0
xgb_3d_sin_smote,3,False,0.4,0.4078746566283447,0.824049331963001,0.5456648972369674,4865.0
xgb_3d_sin_smote,3,False,0.5,0.45696817683022417,0.5991778006166495,0.5184987548914977,4865.0
xgb_3d_sin_smote,3,False,0.6,0.5134868421052632,0.320863309352518,0.39493991144845036,4865.0
xgb_3d_con_smote,3,True,0.3,0.41273584905660377,0.7913669064748201,0.542520961037131,4865.0
xgb_3d_con_smote,3,True,0.4,0.47529682114132515,0.510174717368962,0.4921185684544463,4865.0
xgb_3d_con_smote,3,True,0.5,0.5393966681674921,0.2462487153134635,0.3381315269545583,4865.0
xgb_3d_con_smote,3,True,0.6,0.606973058637084,0.07872559095580678,0.1393740902474527,4865.0
xgb_5d_sin_smote,5,False,0.3,0.5163663415440569,0.9398224763051001,0.6665244065084023,6647.0
xgb_5d_sin_smote,5,False,0.4,0.5486316203977161,0.8384233488791937,0.6632549836358227,6647.0
xgb_5d_sin_smote,5,False,0.5,0.600609756097561,0.6223860388145028,0.6113040265977097,6647.0
xgb_5d_sin_smote,5,False,0.6,0.6643210841803492,0.38348126974575,0.48626478443342236,6647.0
xgb_5d_con_smote,5,True,0.3,0.5200100468854655,0.934406499172559,0.6681727717712872,6647.0
xgb_5d_con_smote,5,True,0.4,0.5547565235257859,0.8123965698811494,0.659300409010439,6647.0
xgb_5d_con_smote,5,True,0.5,0.6134333120612636,0.5784564465172258,0.5954316686024003,6647.0
xgb_5d_con_smote,5,True,0.6,0.6774769413864922,0.34256055363321797,0.4550359712230216,6647.0
xgb_7d_sin_smote,7,False,0.3,0.6275012402844385,0.9319661058577919,0.7500123536097247,8143.0
xgb_7d_sin_smote,7,False,0.4,0.6574482690987545,0.8232838020385608,0.7310796074154853,8143.0
xgb_7d_sin_smote,7,False,0.5,0.7099904332376658,0.637971263662041,0.6720569210866753,8143.0
xgb_7d_sin_smote,7,False,0.6,0.7754551584625758,0.42367677760039296,0.5479669631512071,8143.0
xgb_7d_con_smote,7,True,0.3,0.6116686114352392,0.9656146383396782,0.748928469378036,8143.0
xgb_7d_con_smote,7,True,0.4,0.6370312770001728,0.9054402554341152,0.747882537911447,8143.0
xgb_7d_con_smote,7,True,0.5,0.6696058642303198,0.7740390519464571,0.7180451127819549,8143.0
xgb_7d_con_smote,7,True,0.6,0.7307447485677913,0.5639199312292766,0.6365841824357108,8143.0
