feature,importance
count_keyword_aceite_ult_30d,0.028351065
count_taller_diego_portales_ult_30d,0.02693378
count_keyword_refrigerante_ult_7d,0.023678076
horas_desde_creacion_hasta_apertura_prom_evento,0.022455422
mes,0.02030258
correctivos_previos_max,0.020124622
keyword_refrigerante,0.01605085
count_keyword_sensor_ult_30d,0.015755275
correctivos_previos,0.015554584
keyword_freno,0.014762299
repuestos_descripciones_unicas_evento,0.01447942
keyword_aceite,0.014358689
count_causa_varios_ult_7d,0.014309367
count_keyword_refrigerante_ult_30d,0.014099109
correctivos_ult_7d,0.01396126
count_unidad_14_ult_30d,0.013735351
keyword_espejo,0.013604745
count_keyword_freno_ult_7d,0.013591028
count_keyword_puerta_ult_7d,0.013527809
count_taller_el_conquistador_ult_7d,0.0126720425
count_unidad_14_ult_7d,0.012475063
dias_desde_ultimo_mismo_taller,0.012227808
count_taller_la_estrella_ult_7d,0.012057815
count_keyword_sensor_ult_7d,0.01197926
count_keyword_espejo_ult_7d,0.011898271
keyword_vidrio,0.011549841
filas_correctivo_ult_30d,0.011480093
count_taller_diego_portales_ult_7d,0.011308182
repuestos_codigos_unicos_evento,0.011255369
fin_mes,0.011018024
keyword_bateria,0.010997998
count_keyword_correa_ult_30d,0.010849827
count_keyword_motor_ult_30d,0.0107691
count_causa_varios_ult_3d,0.010713479
filas_correctivo_ult_7d,0.010699149
dias_desde_correctivo_anterior_max,0.010476783
repuestos_cantidad_total_evento,0.010468872
count_keyword_aceite_ult_7d,0.010423639
count_taller_el_conquistador_ult_30d,0.010350404
num_keywords_tecnicos_ult_30d,0.0103156315
dia_semana,0.010294597
count_keyword_espejo_ult_30d,0.010267309
dias_desde_correctivo_anterior_mean,0.010228956
dias_desde_correctivo_anterior_min,0.010183158
repuestos_count_evento,0.010172833
filas_correctivo_evento,0.010161661
count_keyword_vidrio_ult_7d,0.010160378
count_keyword_motor_ult_7d,0.010140775
dias_desde_ultima_misma_causa,0.010131384
duracion_ot_horas_max_evento,0.010112642
racha_eventos_con_repuestos,0.009989723
dias_desde_correctivo_anterior_std,0.00998925
count_taller_la_estrella_ult_30d,0.0099797435
correctivos_ult_5d,0.009970225
racha_misma_causa,0.009898219
repuestos_cantidad_total_ult_30d,0.009851084
count_causa_varios_ult_5d,0.009846358
repuestos_count_ult_30d,0.009792095
keyword_correa,0.0097749615
dias_desde_ultimo_evento_con_repuestos,0.0097659575
count_taller_enea_ult_7d,0.009739133
repuestos_cantidad_total_ult_7d,0.009719628
duracion_ot_horas_prom_evento_ult_30d,0.009662141
count_keyword_bateria_ult_30d,0.009604063
dias_desde_ultimo_keyword_freno,0.009512632
count_keyword_freno_ult_30d,0.00942529
count_causa_correctivo_ult_7d,0.009285779
count_keyword_puerta_ult_30d,0.009179895
count_keyword_bateria_ult_7d,0.00914265
duracion_ot_horas_prom_evento,0.00912235
count_keyword_vidrio_ult_30d,0.009071919
dias_desde_correctivo_anterior,0.0090663275
dias_desde_ultimo_keyword_bateria,0.008955981
num_keywords_tecnicos_evento,0.008910072
repuestos_count_ult_7d,0.00886119
num_keywords_tecnicos_ult_7d,0.008808104
duracion_ot_horas_prom_evento_ult_7d,0.008769783
keyword_sensor,0.00861519
count_causa_correctivo_ult_3d,0.008585874
count_causa_correctivo_ult_5d,0.008541454
dias_desde_ultimo_keyword_motor,0.00845756
count_keyword_correa_ult_7d,0.008399404
correctivos_ult_3d,0.008084078
racha_mismo_taller,0.0072881086
keyword_puerta,0.0070879557
keyword_motor,0.0070593534
count_taller_enea_ult_30d,0.0047107525
uuid_gestion_count_evento,0.0
uuid_gestion_unique_count_evento,0.0
insumos_count_evento,0.0
insumos_unique_count_evento,0.0
km_desviacion_relativa_prom_evento,0.0
tiene_repuestos_evento,0.0
tiene_uuid_gestion_evento,0.0
num_causas_distintas_ult_30d,0.0
count_unidad_15_ult_7d,0.0
count_unidad_15_ult_30d,0.0
uuid_gestion_count_ult_7d,0.0
uuid_gestion_count_ult_30d,0.0
