feature,importance
tasa_falla_ult_3d,0.14953928
count_regb_ult_60d,0.046453968
correctivos_ult_3d,0.042549472
tasa_falla_ult_5d,0.04132003
eventos_ult_3d,0.033464044
tiene_repuestos_evento,0.02979829
filas_correctivo_ult_7d,0.024090681
eventos_ult_5d,0.021922342
correctivos_ult_7d,0.020309335
eventos_ult_7d,0.020105401
correctivos_ult_5d,0.019401846
filas_correctivo_evento,0.019137647
num_keywords_tecnicos_evento,0.016260346
inspeccion_total_highs_evento,0.014544498
count_keyword_correa_ult_30d,0.012810815
count_it_ult_60d,0.012266621
count_causa_varios_ult_3d,0.011851928
repuestos_descripciones_unicas_evento,0.011400892
count_it_ult_7d,0.009270343
tasa_falla_ult_7d,0.008892479
count_preventivo_ult_30d,0.008796286
count_it_ult_30d,0.008558705
count_keyword_sensor_ult_30d,0.008320053
count_regb_ult_30d,0.008276219
dias_desde_ultimo_regb,0.008016462
tiene_uuid_gestion_evento,0.0077303923
count_causa_varios_ult_5d,0.0073528336
count_causa_varios_ult_7d,0.0066360217
count_regb_ult_180d,0.006484257
count_unidad_11_ult_7d,0.006478779
inspeccion_total_mediums_evento,0.0063681775
count_it_ult_180d,0.0062113674
dias_desde_ultima_falla,0.0059854663
count_preventivo_ult_7d,0.0055560567
count_preventivo_ult_60d,0.00546964
count_correctivo_ult_180d,0.005216487
count_correctivo_ult_7d,0.0051786345
count_keyword_espejo_ult_30d,0.0050038416
uuid_gestion_unique_count_evento,0.0047845514
count_regb_ult_7d,0.004678804
no_presentado_ult_30d,0.0046163253
tiene_preventivo,0.0045374306
keyword_correa,0.0045276904
keyword_sensor,0.004496363
count_keyword_refrigerante_ult_30d,0.00447216
keyword_freno,0.004425059
num_causas_distintas_ult_30d,0.004242845
keyword_refrigerante,0.00415306
uuid_gestion_count_ult_7d,0.0037880254
repuestos_count_evento,0.0036507589
count_unidad_15_ult_30d,0.0036139684
count_unidad_19_ult_7d,0.0034945158
inspeccion_total_lows_evento,0.0034782689
count_keyword_motor_ult_30d,0.003437117
count_keyword_freno_ult_30d,0.0033991118
repuestos_codigos_unicos_evento,0.003306865
num_keywords_tecnicos_ult_30d,0.0032455297
keyword_motor,0.0031799173
fin_mes,0.0031249558
dias_desde_ultimo_it,0.0031231192
count_sistema_varios_ult_7d,0.003116887
count_unidad_15_ult_7d,0.0030845918
lows_it_ult_90d,0.0029501352
count_correctivo_ult_60d,0.002922837
