feature,importance
count_keyword_refrigerante_ult_7d,0.024543144
horas_desde_creacion_hasta_apertura_prom_evento,0.019823717
correctivos_previos_max,0.01879457
keyword_espejo,0.018001346
count_taller_enea_ult_7d,0.017217055
count_keyword_espejo_ult_7d,0.01583152
count_keyword_refrigerante_ult_30d,0.015720507
count_taller_diego_portales_ult_7d,0.015713131
count_taller_el_conquistador_ult_7d,0.015423052
count_taller_la_estrella_ult_7d,0.015307578
correctivos_previos,0.015261979
mes,0.014956139
count_keyword_motor_ult_7d,0.014444984
dias_desde_ultimo_mismo_taller,0.014384669
keyword_bateria,0.014057626
keyword_aceite,0.013792719
correctivos_ult_7d,0.012928723
count_keyword_motor_ult_30d,0.012876661
count_keyword_freno_ult_7d,0.012375875
keyword_freno,0.012260134
fin_mes,0.012224313
count_keyword_sensor_ult_7d,0.0120161725
count_keyword_correa_ult_7d,0.011998618
count_keyword_espejo_ult_30d,0.011863405
count_keyword_sensor_ult_30d,0.011705744
count_unidad_14_ult_30d,0.0116909845
filas_correctivo_ult_30d,0.011632703
keyword_refrigerante,0.011630375
keyword_vidrio,0.011557357
repuestos_cantidad_total_evento,0.011477114
count_keyword_puerta_ult_7d,0.011473848
count_causa_varios_ult_7d,0.01135589
count_keyword_vidrio_ult_30d,0.011257788
repuestos_count_ult_30d,0.011086777
repuestos_cantidad_total_ult_7d,0.011062172
keyword_puerta,0.011056463
dias_desde_ultimo_evento_con_repuestos,0.0110545745
repuestos_count_evento,0.011018237
dias_desde_correctivo_anterior_mean,0.011003128
duracion_ot_horas_max_evento,0.010999519
repuestos_cantidad_total_ult_30d,0.010968059
dias_desde_correctivo_anterior_min,0.010962462
count_causa_correctivo_ult_7d,0.010896073
count_taller_la_estrella_ult_30d,0.010780923
dia_semana,0.010647238
dias_desde_correctivo_anterior_std,0.010566091
count_causa_varios_ult_3d,0.010546946
dias_desde_ultima_misma_causa,0.010479541
count_taller_enea_ult_30d,0.0104054585
dias_desde_correctivo_anterior_max,0.010386605
count_keyword_freno_ult_30d,0.010380836
filas_correctivo_ult_7d,0.0103068715
num_keywords_tecnicos_ult_30d,0.010298948
dias_desde_ultimo_keyword_motor,0.010234337
duracion_ot_horas_prom_evento_ult_30d,0.010217699
dias_desde_ultimo_keyword_freno,0.010202066
count_taller_el_conquistador_ult_30d,0.0101942895
dias_desde_ultimo_keyword_bateria,0.010187
duracion_ot_horas_prom_evento_ult_7d,0.010182876
count_taller_diego_portales_ult_30d,0.010181913
racha_eventos_con_repuestos,0.010172761
count_causa_varios_ult_5d,0.01015096
repuestos_count_ult_7d,0.010110509
dias_desde_correctivo_anterior,0.010013723
count_causa_correctivo_ult_3d,0.009957428
filas_correctivo_evento,0.009888169
count_keyword_puerta_ult_30d,0.009821353
count_keyword_aceite_ult_30d,0.009818043
racha_misma_causa,0.009732509
count_keyword_vidrio_ult_7d,0.009728395
repuestos_descripciones_unicas_evento,0.0097111
count_unidad_14_ult_7d,0.009657816
num_keywords_tecnicos_ult_7d,0.009651279
repuestos_codigos_unicos_evento,0.00962615
count_keyword_bateria_ult_7d,0.009585912
count_causa_correctivo_ult_5d,0.009567005
duracion_ot_horas_prom_evento,0.009416798
count_keyword_correa_ult_30d,0.009206238
num_keywords_tecnicos_evento,0.009131315
keyword_correa,0.008735051
racha_mismo_taller,0.008403982
count_keyword_aceite_ult_7d,0.008342408
correctivos_ult_3d,0.0080913715
correctivos_ult_5d,0.008062578
keyword_sensor,0.0074622985
count_keyword_bateria_ult_30d,0.007038302
keyword_motor,0.0070099835
uuid_gestion_count_evento,0.0
uuid_gestion_unique_count_evento,0.0
insumos_count_evento,0.0
insumos_unique_count_evento,0.0
km_desviacion_relativa_prom_evento,0.0
tiene_repuestos_evento,0.0
tiene_uuid_gestion_evento,0.0
num_causas_distintas_ult_30d,0.0
count_unidad_15_ult_7d,0.0
count_unidad_15_ult_30d,0.0
uuid_gestion_count_ult_7d,0.0
uuid_gestion_count_ult_30d,0.0
