feature,importance
correctivos_ult_7d,0.0029346303
correctivos_ult_5d,0.002746866
tiene_repuestos_evento,0.0021271766
uuid_gestion_count_evento,0.0
uuid_gestion_unique_count_evento,0.0
km_desviacion_relativa_prom_evento,0.0
tiene_uuid_gestion_evento,0.0
num_sistemas_inspeccionados,0.0
count_causa_mantenimiento_preventivo_ult_7d,0.0
count_causa_mantenimiento_preventivo_ult_5d,0.0
count_causa_mantenimiento_preventivo_ult_3d,0.0
count_unidad_19_ult_7d,0.0
count_unidad_19_ult_30d,0.0
count_unidad_15_ult_7d,0.0
count_unidad_15_ult_30d,0.0
uuid_gestion_count_ult_7d,0.0
uuid_gestion_count_ult_30d,0.0
