feature,importance
tasa_falla_ult_3d,0.10836514
count_causa_varios_ult_3d,0.05527145
tasa_falla_ult_5d,0.028138744
inspeccion_total_highs_evento,0.022907356
inspeccion_total_mediums_evento,0.017879156
dias_desde_ultimo_regb,0.016361937
count_causa_varios_ult_5d,0.016259212
count_regb_ult_60d,0.012954514
count_causa_varios_ult_7d,0.009588407
count_correctivo_ult_180d,0.009394895
inspeccion_total_lows_evento,0.009128214
count_unidad_14_ult_7d,0.008654788
count_sistema_varios_ult_7d,0.008387476
repuestos_descripciones_unicas_evento,0.007895361
dia_semana,0.0076050605
dias_desde_ultima_falla,0.007433779
tasa_falla_ult_7d,0.007036724
no_presentado_ult_30d,0.0070296167
dias_desde_ultimo_it,0.0070203906
total_fallas_hist,0.0067188484
count_unidad_14_ult_30d,0.0066434694
count_sistema_varios_ult_30d,0.0066383723
count_preventivo_ult_60d,0.006510908
count_regb_ult_7d,0.006361229
dias_desde_correctivo_anterior_std,0.006338995
lows_it_ult_90d,0.006317424
count_taller_pie_andino_ult_30d,0.006225997
count_keyword_sensor_ult_7d,0.0058998093
keyword_freno,0.0058961622
count_sistema_carroceria_ult_7d,0.0057248576
total_correctivos_hist,0.005632423
dias_desde_correctivo_anterior,0.0056159645
correctivos_previos,0.0055505047
count_it_ult_7d,0.0055427896
count_taller_santa_marta_ult_30d,0.0055198674
count_sistema_electrico_ult_30d,0.0054672286
tasa_correctivos_hist,0.005399918
count_taller_el_conquistador_ult_30d,0.0053514726
count_unidad_8_ult_30d,0.0053429045
correctivos_ult_3d,0.0053024446
count_sistema_mecanica_motor_ult_7d,0.0052312
count_taller_santa_marta_ult_7d,0.0051929965
count_taller_el_retiro_ult_30d,0.0051890416
count_keyword_bateria_ult_7d,0.005176296
dias_desde_correctivo_anterior_min,0.005106622
count_regb_ult_180d,0.0050917235
count_causa_correctivo_ult_7d,0.0050292145
count_taller_el_retiro_ult_7d,0.005029207
count_sistema_electrico_ult_7d,0.005023585
filas_correctivo_ult_7d,0.0049828747
count_taller_el_salto_ult_30d,0.0049815066
keyword_motor,0.004973635
mediums_regb_ult_30d,0.0049600257
highs_it_ult_90d,0.0049480246
count_taller_el_conquistador_ult_7d,0.004933684
eventos_ult_5d,0.004918444
count_unidad_11_ult_30d,0.0049088653
highs_regb_ult_30d,0.004896577
keyword_bateria,0.0048945663
count_regb_ult_30d,0.004885778
dias_desde_correctivo_anterior_mean,0.004864332
count_taller_pie_andino_ult_7d,0.0048438557
count_unidad_11_ult_7d,0.004840994
eventos_previos,0.004797638
dias_desde_ultimo_mismo_taller,0.004771336
count_preventivo_ult_7d,0.0047702114
mes,0.0047652405
lows_it_ult_180d,0.00475974
lows_regb_ult_30d,0.004751862
count_preventivo_ult_180d,0.004738897
dias_desde_ultimo_correctivo,0.004731437
count_sistema_mecanica_motor_ult_30d,0.004719139
count_it_ult_60d,0.004639006
count_unidad_8_ult_7d,0.0046093105
eventos_ult_3d,0.004601013
mediums_it_ult_90d,0.0045780684
count_correctivo_ult_60d,0.0045645162
duracion_ot_horas_prom_evento_ult_30d,0.004548717
repuestos_count_ult_30d,0.0045477287
tasa_fallas_hist,0.0045365198
total_eventos_hist,0.004493031
count_keyword_freno_ult_7d,0.004485575
dias_desde_ultima_misma_causa,0.004480985
dias_desde_correctivo_anterior_max,0.0044727996
keyword_vidrio,0.004465399
racha_misma_causa,0.004463542
count_sistema_carroceria_ult_30d,0.0044444953
repuestos_cantidad_total_ult_30d,0.004407997
mediums_it_ult_180d,0.004406605
count_causa_correctivo_general_ult_5d,0.0044004917
count_keyword_espejo_ult_7d,0.0043879272
count_causa_correctivo_ult_5d,0.0043868995
count_causa_correctivo_ult_3d,0.0043583247
count_causa_novedad_general_ult_5d,0.004357882
dias_desde_ultimo_preventivo,0.0043534325
num_causas_distintas_ult_30d,0.0043470063
count_causa_correctivo_general_ult_7d,0.0043422496
keyword_refrigerante,0.004293229
duracion_ot_horas_max_evento,0.0042640665
horas_desde_creacion_hasta_apertura_prom_evento,0.0042598047
insumos_unique_count_evento,0.0042470363
count_keyword_vidrio_ult_30d,0.004230059
dias_desde_ultimo_keyword_freno,0.0042280825
filas_correctivo_ult_30d,0.004226475
correctivos_previos_max,0.004225465
count_it_ult_180d,0.0042198114
dias_desde_ultimo_evento_con_repuestos,0.004197767
highs_it_ult_180d,0.0041766064
keyword_sensor,0.0041763983
keyword_correa,0.0041708266
count_causa_novedad_general_ult_7d,0.004144711
keyword_aceite,0.004143326
repuestos_codigos_unicos_evento,0.0041407333
count_keyword_bateria_ult_30d,0.004139441
count_taller_el_salto_ult_7d,0.0041354084
count_it_ult_30d,0.0041165277
count_keyword_motor_ult_7d,0.0041155247
dias_desde_ultimo_keyword_motor,0.004112713
racha_mismo_taller,0.0041082995
dias_desde_ultimo_keyword_bateria,0.004078528
dias_desde_evento_anterior,0.004023724
duracion_ot_horas_prom_evento_ult_7d,0.0040227873
count_causa_correctivo_general_ult_3d,0.004002583
count_keyword_sensor_ult_30d,0.003992239
racha_eventos_con_repuestos,0.003986877
fin_mes,0.0039792913
count_keyword_espejo_ult_30d,0.0039629806
count_keyword_freno_ult_30d,0.003958398
count_correctivo_ult_7d,0.0039512147
count_preventivo_ult_30d,0.003951054
count_keyword_motor_ult_30d,0.0039440845
count_keyword_refrigerante_ult_30d,0.0039345636
repuestos_count_ult_7d,0.0039225686
count_causa_novedad_general_ult_3d,0.003907131
count_keyword_aceite_ult_7d,0.0039032905
num_keywords_tecnicos_ult_30d,0.0038975494
repuestos_cantidad_total_evento,0.00388003
num_keywords_tecnicos_evento,0.0038739387
repuestos_cantidad_total_ult_7d,0.0038730043
count_correctivo_ult_30d,0.0038324934
count_keyword_refrigerante_ult_7d,0.0037682394
count_keyword_aceite_ult_30d,0.0037197103
count_keyword_vidrio_ult_7d,0.0036982433
count_keyword_correa_ult_7d,0.0036916265
count_keyword_puerta_ult_7d,0.003678307
filas_correctivo_evento,0.0036681525
count_keyword_correa_ult_30d,0.0036615194
insumos_count_evento,0.003640785
keyword_espejo,0.0036192015
eventos_ult_7d,0.0036043061
duracion_ot_horas_prom_evento,0.0036004686
num_keywords_tecnicos_ult_7d,0.0034986357
count_keyword_puerta_ult_30d,0.003385938
repuestos_count_evento,0.0033384038
correctivos_ult_7d,0.0032635583
keyword_puerta,0.0032277422
flag_no_presentado,0.0029781826
correctivos_ult_5d,0.0029361432
tiene_repuestos_evento,0.0013682299
uuid_gestion_count_evento,0.0
uuid_gestion_unique_count_evento,0.0
km_desviacion_relativa_prom_evento,0.0
tiene_uuid_gestion_evento,0.0
num_sistemas_inspeccionados,0.0
count_causa_mantenimiento_preventivo_ult_7d,0.0
count_causa_mantenimiento_preventivo_ult_5d,0.0
count_causa_mantenimiento_preventivo_ult_3d,0.0
count_unidad_19_ult_7d,0.0
count_unidad_19_ult_30d,0.0
count_unidad_15_ult_7d,0.0
count_unidad_15_ult_30d,0.0
uuid_gestion_count_ult_7d,0.0
uuid_gestion_count_ult_30d,0.0
