feature,importance
tasa_falla_ult_3d,0.11868404
count_causa_varios_ult_3d,0.03685687
tasa_falla_ult_5d,0.026133543
count_sistema_varios_ult_7d,0.0223395
count_causa_varios_ult_7d,0.01971411
count_regb_ult_60d,0.016941747
count_correctivo_ult_180d,0.015651196
dias_desde_ultimo_regb,0.01546487
count_taller_el_conquistador_ult_30d,0.014407151
inspeccion_total_highs_evento,0.012551427
count_unidad_14_ult_30d,0.012328053
count_taller_el_conquistador_ult_7d,0.010779335
count_sistema_varios_ult_30d,0.009585565
inspeccion_total_mediums_evento,0.008899757
count_it_ult_7d,0.007937083
count_causa_varios_ult_5d,0.0076700095
count_taller_pie_andino_ult_30d,0.0074544176
correctivos_previos,0.007053273
dias_desde_ultimo_it,0.0069070193
no_presentado_ult_30d,0.006864208
total_fallas_hist,0.0068155834
tasa_falla_ult_7d,0.0067976913
count_regb_ult_7d,0.0065480527
total_correctivos_hist,0.006496814
dias_desde_ultima_falla,0.006474246
count_taller_santa_marta_ult_30d,0.006355968
inspeccion_total_lows_evento,0.006351677
dias_desde_correctivo_anterior_std,0.0063299793
count_preventivo_ult_60d,0.005901597
tasa_correctivos_hist,0.005863058
count_taller_pie_andino_ult_7d,0.005512368
mediums_regb_ult_30d,0.0055092396
repuestos_descripciones_unicas_evento,0.005401247
lows_it_ult_90d,0.005391813
count_correctivo_ult_60d,0.005379716
highs_regb_ult_30d,0.0053794095
keyword_freno,0.005369994
count_regb_ult_180d,0.005346555
lows_regb_ult_30d,0.00532597
count_taller_el_retiro_ult_30d,0.005305605
lows_it_ult_180d,0.005303368
count_taller_el_retiro_ult_7d,0.005302486
count_sistema_electrico_ult_30d,0.005271152
count_preventivo_ult_180d,0.0052398425
mes,0.00522707
count_taller_santa_marta_ult_7d,0.005208698
count_it_ult_30d,0.005198061
dias_desde_correctivo_anterior_mean,0.005146045
dias_desde_correctivo_anterior_min,0.005122949
eventos_previos,0.0050359513
dias_desde_ultimo_correctivo,0.0050261403
count_sistema_mecanica_motor_ult_30d,0.0049128723
mediums_it_ult_90d,0.0048777014
repuestos_cantidad_total_ult_30d,0.0048635732
eventos_ult_3d,0.0048586484
tasa_fallas_hist,0.0048487643
count_unidad_11_ult_30d,0.0048482986
count_unidad_8_ult_30d,0.0047846525
count_sistema_electrico_ult_7d,0.004783543
dias_desde_ultimo_mismo_taller,0.0047488417
repuestos_count_ult_30d,0.0047294595
count_sistema_carroceria_ult_30d,0.004707241
dias_desde_correctivo_anterior_max,0.0046445006
highs_it_ult_90d,0.0046282685
dias_desde_ultimo_keyword_freno,0.004616765
mediums_it_ult_180d,0.0046142437
count_keyword_sensor_ult_7d,0.0046051457
count_keyword_vidrio_ult_30d,0.004595511
count_keyword_bateria_ult_30d,0.0045938874
filas_correctivo_ult_7d,0.0045859776
total_eventos_hist,0.004570691
count_unidad_11_ult_7d,0.004558418
count_regb_ult_30d,0.0045544812
count_preventivo_ult_7d,0.0045528635
count_keyword_espejo_ult_7d,0.0045482256
keyword_bateria,0.0045324867
count_causa_correctivo_ult_7d,0.004528621
count_keyword_vidrio_ult_7d,0.004498454
count_sistema_carroceria_ult_7d,0.004494477
count_preventivo_ult_30d,0.004471199
duracion_ot_horas_prom_evento_ult_30d,0.004457378
filas_correctivo_ult_30d,0.004453015
dias_desde_ultimo_preventivo,0.0044194786
count_unidad_14_ult_7d,0.004381364
count_causa_correctivo_ult_3d,0.0043740696
count_keyword_correa_ult_30d,0.00437314
count_causa_novedad_general_ult_5d,0.004364783
dias_desde_ultimo_keyword_bateria,0.0043567102
count_it_ult_180d,0.004337014
count_keyword_aceite_ult_30d,0.004335188
count_sistema_mecanica_motor_ult_7d,0.004322838
count_taller_el_salto_ult_30d,0.0043092226
dias_desde_correctivo_anterior,0.004296248
count_unidad_8_ult_7d,0.0042864094
count_causa_novedad_general_ult_3d,0.0042804442
count_keyword_sensor_ult_30d,0.0042739543
count_causa_correctivo_ult_5d,0.004259704
duracion_ot_horas_max_evento,0.0042459997
count_it_ult_60d,0.0042459
horas_desde_creacion_hasta_apertura_prom_evento,0.004226194
keyword_sensor,0.0042174365
count_causa_correctivo_general_ult_7d,0.004206291
dias_desde_ultimo_keyword_motor,0.0042018257
dias_desde_ultima_misma_causa,0.004201148
num_causas_distintas_ult_30d,0.004190464
count_keyword_refrigerante_ult_7d,0.0041657942
count_keyword_puerta_ult_30d,0.0041535287
highs_it_ult_180d,0.0041369526
racha_mismo_taller,0.004135896
count_keyword_refrigerante_ult_30d,0.0041248035
repuestos_cantidad_total_ult_7d,0.004099609
racha_misma_causa,0.0040895976
correctivos_ult_3d,0.004077982
count_keyword_freno_ult_30d,0.004067926
count_keyword_freno_ult_7d,0.004063309
dias_desde_ultimo_evento_con_repuestos,0.004043129
duracion_ot_horas_prom_evento_ult_7d,0.0040296363
keyword_correa,0.004025637
count_keyword_espejo_ult_30d,0.0040096906
eventos_ult_5d,0.0039996454
count_correctivo_ult_30d,0.0039689476
count_causa_novedad_general_ult_7d,0.003965104
count_keyword_correa_ult_7d,0.0039342493
racha_eventos_con_repuestos,0.003884375
count_causa_correctivo_general_ult_5d,0.0038742826
count_correctivo_ult_7d,0.0038688818
num_keywords_tecnicos_ult_30d,0.0038637174
count_keyword_bateria_ult_7d,0.0038585332
count_keyword_motor_ult_30d,0.0038440232
repuestos_count_ult_7d,0.0037967158
repuestos_codigos_unicos_evento,0.0037677716
count_keyword_puerta_ult_7d,0.003760957
count_taller_el_salto_ult_7d,0.0037096362
count_causa_correctivo_general_ult_3d,0.0037010512
dias_desde_evento_anterior,0.0036711346
num_keywords_tecnicos_evento,0.0036599874
num_keywords_tecnicos_ult_7d,0.0036251934
count_keyword_motor_ult_7d,0.0035952886
keyword_espejo,0.0035937026
repuestos_cantidad_total_evento,0.003585351
keyword_aceite,0.0035813525
insumos_unique_count_evento,0.0035655433
fin_mes,0.0035640446
duracion_ot_horas_prom_evento,0.0035173758
keyword_motor,0.0034314636
insumos_count_evento,0.0034177857
flag_no_presentado,0.0034070807
dia_semana,0.0034040657
correctivos_ult_7d,0.0033793426
count_keyword_aceite_ult_7d,0.0033766027
filas_correctivo_evento,0.0033725675
keyword_puerta,0.0033116667
keyword_refrigerante,0.0031810661
repuestos_count_evento,0.0031179327
eventos_ult_7d,0.0031161366
keyword_vidrio,0.0030051712
correctivos_ult_5d,0.0029750976
correctivos_previos_max,0.0028749423
tiene_repuestos_evento,0.0017131724
uuid_gestion_count_evento,0.0
uuid_gestion_unique_count_evento,0.0
km_desviacion_relativa_prom_evento,0.0
tiene_uuid_gestion_evento,0.0
num_sistemas_inspeccionados,0.0
count_causa_mantenimiento_preventivo_ult_7d,0.0
count_causa_mantenimiento_preventivo_ult_5d,0.0
count_causa_mantenimiento_preventivo_ult_3d,0.0
count_unidad_19_ult_7d,0.0
