iter	Passed	Remaining
402	12399	12214
403	12431	12185
404	12476	12168
405	12510	12141
406	12538	12107
407	12565	12072
408	12597	12042
409	12623	12007
410	12651	11973
411	12680	11941
412	12706	11906
413	12736	11875
414	12767	11844
415	12798	11814
416	12826	11780
417	12855	11748
418	12884	11715
419	12916	11686
420	12953	11661
421	12987	11632
422	13018	11602
423	13045	11569
424	13083	11543
425	13111	11510
426	13141	11479
427	13171	11447
428	13199	11414
429	13222	11377
430	13253	11346
431	13283	11315
432	13311	11282
433	13344	11253
434	13373	11221
435	13403	11190
436	13435	11160
437	13464	11128
438	13493	11095
439	13521	11062
440	13553	11033
441	13582	11001
442	13613	10970
443	13639	10936
444	13666	10902
445	13690	10866
446	13721	10835
447	13751	10804
448	13785	10776
449	13814	10744
450	13844	10713
451	13878	10685
452	13907	10653
453	13938	10622
454	13964	10588
455	13988	10553
456	14015	10519
457	14041	10485
458	14072	10454
459	14100	10421
460	14127	10388
461	14156	10357
462	14184	10324
463	14214	10292
464	14243	10261
465	14274	10230
466	14308	10203
467	14340	10172
468	14371	10142
469	14398	10109
470	14429	10079
471	14459	10047
472	14487	10015
473	14522	9987
474	14558	9960
475	14586	9928
476	14618	9899
477	14645	9865
478	14675	9834
479	14703	9802
480	14731	9769
481	14761	9739
482	14790	9707
483	14818	9674
484	14846	9642
485	14872	9609
486	14899	9576
487	14930	9545
488	14957	9512
489	14979	9476
490	15010	9446
491	15049	9421
492	15076	9388
493	15112	9361
494	15142	9330
495	15173	9299
496	15201	9267
497	15231	9236
498	15264	9207
499	15287	9172
500	15320	9143
501	15346	9110
502	15376	9078
503	15410	9050
504	15441	9020
505	15471	8989
506	15504	8960
507	15531	8927
508	15557	8894
509	15590	8865
510	15627	8838
511	15658	8807
512	15684	8775
513	15712	8742
514	15739	8710
515	15768	8678
516	15798	8648
517	15830	8618
518	15859	8586
519	15884	8553
520	15918	8524
521	15945	8492
522	15976	8461
523	16005	8430
524	16037	8400
525	16073	8372
526	16110	8345
527	16141	8315
528	16171	8284
529	16201	8253
530	16232	8223
531	16263	8192
532	16293	8162
533	16323	8131
534	16356	8102
535	16389	8072
536	16427	8045
537	16462	8016
538	16494	7987
539	16537	7962
540	16575	7935
541	16623	7912
542	16659	7884
543	16700	7859
544	16737	7831
545	16775	7803
546	16809	7774
547	16843	7745
548	16877	7716
549	16915	7688
550	16951	7660
551	16990	7633
552	17025	7604
553	17067	7578
554	17102	7549
555	17146	7524
556	17176	7493
557	17206	7462
558	17239	7432
559	17269	7401
560	17300	7370
561	17331	7339
562	17355	7305
563	17383	7273
564	17419	7245
565	17450	7214
566	17475	7181
567	17502	7148
568	17531	7117
569	17558	7085
570	17594	7056
571	17619	7023
572	17652	6993
573	17680	6961
574	17709	6929
575	17738	6898
576	17780	6871
577	17827	6847
578	17869	6820
579	17906	6792
580	17946	6764
581	17980	6735
582	18009	6703
583	18043	6673
584	18072	6642
585	18104	6611
586	18135	6580
587	18161	6547
588	18192	6517
589	18221	6485
590	18248	6453
591	18276	6421
592	18310	6391
593	18332	6357
594	18366	6328
595	18402	6298
596	18434	6268
597	18466	6237
598	18496	6206
599	18527	6175
600	18561	6145
601	18592	6115
602	18622	6084
603	18655	6053
604	18688	6023
605	18720	5993
606	18751	5962
607	18783	5931
608	18812	5900
609	18841	5868
610	18878	5839
611	18906	5807
612	18940	5778
613	18971	5746
614	18999	5715
615	19030	5684
616	19070	5656
617	19096	5623
618	19127	5593
619	19159	5562
620	19190	5531
621	19219	5500
622	19252	5469
623	19283	5438
624	19312	5407
625	19341	5376
626	19369	5344
627	19396	5312
628	19433	5283
629	19465	5252
630	19497	5221
631	19525	5190
632	19558	5159
633	19586	5128
634	19613	5096
635	19647	5066
636	19684	5037
637	19716	5006
638	19746	4975
639	19774	4943
640	19803	4912
641	19837	4882
642	19868	4851
643	19901	4820
644	19928	4788
645	19961	4758
646	19991	4727
647	20018	4695
648	20045	4663
649	20078	4633
650	20114	4603
651	20148	4573
652	20173	4541
653	20204	4510
654	20239	4480
655	20267	4448
656	20296	4417
657	20326	4386
658	20355	4355
659	20385	4324
660	20411	4292
661	20437	4260
662	20466	4229
663	20491	4197
664	20522	4166
665	20545	4133
666	20575	4102
667	20604	4071
668	20634	4040
669	20665	4009
670	20694	3978
671	20723	3947
672	20753	3916
673	20777	3884
674	20803	3852
675	20835	3821
676	20863	3790
677	20896	3760
678	20926	3729
679	20958	3698
680	20987	3667
681	21019	3636
682	21054	3606
683	21087	3576
684	21129	3547
685	21160	3516
686	21190	3485
687	21217	3453
688	21248	3423
689	21280	3392
690	21314	3362
691	21337	3330
692	21367	3299
693	21394	3267
694	21424	3236
695	21450	3205
696	21483	3174
697	21512	3143
698	21541	3112
699	21571	3081
700	21591	3049
701	21622	3018
702	21653	2987
703	21684	2956
704	21717	2926
705	21743	2895
706	21776	2864
707	21804	2833
708	21834	2802
709	21867	2771
710	21901	2741
711	21935	2711
712	21971	2680
713	22003	2650
714	22033	2619
715	22059	2587
716	22083	2556
717	22112	2525
718	22135	2493
719	22166	2462
720	22197	2432
721	22224	2401
722	22257	2370
723	22289	2339
724	22327	2309
725	22359	2279
726	22391	2248
727	22420	2217
728	22450	2186
729	22475	2155
730	22501	2123
731	22526	2092
732	22562	2062
733	22584	2030
734	22616	2000
735	22646	1969
736	22669	1937
737	22700	1907
738	22730	1876
739	22759	1845
740	22779	1813
741	22812	1783
742	22845	1752
743	22874	1721
744	22902	1690
745	22929	1659
746	22959	1628
747	22982	1597
748	23011	1566
749	23045	1536
750	23084	1506
751	23113	1475
752	23141	1444
753	23191	1414
754	23223	1384
755	23260	1353
756	23292	1323
757	23317	1292
758	23345	1261
759	23376	1230
760	23404	1199
761	23438	1168
762	23461	1137
763	23486	1106
764	23512	1075
765	23547	1045
766	23579	1014
767	23601	983
768	23632	952
769	23667	922
770	23689	891
771	23718	860
772	23747	829
773	23779	798
774	23806	767
775	23843	737
776	23872	706
777	23902	675
778	23924	644
779	23954	614
780	23984	583
781	24014	552
782	24052	522
783	24081	491
784	24110	460
785	24140	429
786	24170	399
787	24201	368
788	24234	337
789	24256	307
790	24283	276
791	24316	245
792	24335	214
793	24372	184
794	24401	153
795	24430	122
796	24460	92
797	24487	61
798	24508	30
799	24531	0
