iter	Logloss
402	0.3833655748
403	0.3833365312
404	0.3833150594
405	0.383302502
406	0.3832804987
407	0.3832586114
408	0.3832359618
409	0.3832140986
410	0.3831865989
411	0.3831686952
412	0.3831453334
413	0.3831201659
414	0.3830966624
415	0.3830752482
416	0.3830551912
417	0.3830319417
418	0.3830138818
419	0.3829870309
420	0.3829595467
421	0.382913003
422	0.3828876595
423	0.3828565752
424	0.3828176348
425	0.3827932186
426	0.3827713278
427	0.3827224518
428	0.3826996438
429	0.3826892951
430	0.3826623995
431	0.3826426488
432	0.3826114613
433	0.3825757584
434	0.3825533837
435	0.3825350643
436	0.3825157706
437	0.3824792317
438	0.3824586194
439	0.3824277807
440	0.3823935141
441	0.3823627253
442	0.382322944
443	0.3822940795
444	0.3822667317
445	0.3822531633
446	0.3822244475
447	0.3821474543
448	0.3820797036
449	0.3820560885
450	0.3820244575
451	0.3819811451
452	0.3819615928
453	0.3819482576
454	0.3819287647
455	0.3819052227
456	0.3818573643
457	0.38184027
458	0.3818163674
459	0.3818024938
460	0.3817796724
461	0.3817522951
462	0.3817342411
463	0.3817012732
464	0.3816701215
465	0.3816325974
466	0.3815915279
467	0.3815628368
468	0.3815393032
469	0.3815145253
470	0.3814777666
471	0.3814592378
472	0.3814300665
473	0.3814130018
474	0.3813836764
475	0.3813537528
476	0.381331089
477	0.3812932906
478	0.3812708322
479	0.3812331365
480	0.381205193
481	0.3811762018
482	0.3811361978
483	0.3811083712
484	0.3810908086
485	0.3810687636
486	0.3810326089
487	0.380981146
488	0.3809547177
489	0.3809495022
490	0.3809421173
491	0.380910835
492	0.380891817
493	0.3808604452
494	0.380838133
495	0.3808082775
496	0.3807848656
497	0.3807403421
498	0.3807160914
499	0.3807011055
500	0.3806625864
501	0.3806257805
502	0.380609038
503	0.380582484
504	0.3805611419
505	0.3805459025
506	0.3805150956
507	0.3805136941
508	0.3804944298
509	0.3804798397
510	0.3804470137
511	0.3804088904
512	0.3803789213
513	0.3803626709
514	0.3803369704
515	0.3803156696
516	0.3802986104
517	0.3802814105
518	0.3802643154
519	0.3802615238
520	0.3802397818
521	0.3802327772
522	0.3802065609
523	0.380180615
524	0.3801557619
525	0.3801281503
526	0.3801003535
527	0.3800697229
528	0.3800491558
529	0.3800355725
530	0.3800131905
531	0.3799958507
532	0.3799659747
533	0.3799170994
534	0.3798857541
535	0.3798617657
536	0.3798250553
537	0.3797996708
538	0.3797794394
539	0.3797617682
540	0.3797438467
541	0.379712108
542	0.3796848331
543	0.3796650185
544	0.3796473262
545	0.3796092484
546	0.3795849314
547	0.379565759
548	0.379557865
549	0.3795329771
550	0.3795077364
551	0.3794822896
552	0.379451197
553	0.3794377025
554	0.3794110823
555	0.3793911865
556	0.3793620037
557	0.379339585
558	0.3793121887
559	0.3792947706
560	0.3792714517
561	0.3792486776
562	0.379241109
563	0.3792279059
564	0.3791929446
565	0.3791549986
566	0.3791404396
567	0.3791066727
568	0.3790637891
569	0.3790561368
570	0.3790269998
571	0.3790017959
572	0.3789700522
573	0.3789534185
574	0.3789312225
575	0.3789229245
576	0.3789005373
577	0.3788781179
578	0.378858542
579	0.3788299218
580	0.3788082844
581	0.3787888371
582	0.3787637791
583	0.3787357239
584	0.378705374
585	0.3786759915
586	0.3786485434
587	0.3786279116
588	0.3785813025
589	0.3785619323
590	0.3785425378
591	0.3785237231
592	0.3785004234
593	0.3784995145
594	0.3784735886
595	0.378454006
596	0.3784053089
597	0.3783817361
598	0.3783562353
599	0.3783329541
600	0.3783030136
601	0.3782663535
602	0.3782568461
603	0.378223818
604	0.3782073493
605	0.3781746118
606	0.3781518441
607	0.3781185621
608	0.3780995832
609	0.3780805531
610	0.3780572167
611	0.3780216091
612	0.3779955844
613	0.3779671226
614	0.3779454179
615	0.3779278312
616	0.3779100331
617	0.3778882351
618	0.3778555716
619	0.3778162841
620	0.3778011711
621	0.3777831029
622	0.3777560037
623	0.3777171588
624	0.3777025617
625	0.3776830375
626	0.3776664099
627	0.3776570271
628	0.3776368928
629	0.3776157431
630	0.3775982121
631	0.3775801101
632	0.3775472774
633	0.3775341785
634	0.3775193569
635	0.3774880514
636	0.377472425
637	0.3774439001
638	0.3774186155
639	0.3774048255
640	0.3773874348
641	0.3773640635
642	0.3773386669
643	0.3773111873
644	0.377283537
645	0.3772591227
646	0.3772411318
647	0.3772085283
648	0.3771840431
649	0.3771569774
650	0.3771346478
651	0.3771136002
652	0.3770983533
653	0.3770810763
654	0.3770600346
655	0.3770442405
656	0.3770205012
657	0.377003588
658	0.3769897408
659	0.3769647132
660	0.3769454399
661	0.3769315969
662	0.3769061788
663	0.3768853592
664	0.3768691302
665	0.3768676298
666	0.3768553149
667	0.3768296175
668	0.3768077594
669	0.3767896687
670	0.3767738018
671	0.3767364378
672	0.3767106932
673	0.3766991488
674	0.3766983983
675	0.3766777196
676	0.3766538074
677	0.3766188454
678	0.3765885039
679	0.376550295
680	0.3765251634
681	0.3764989875
682	0.3764641357
683	0.3764426021
684	0.3764125675
685	0.3763652539
686	0.3763434861
687	0.3763210376
688	0.3763019581
689	0.376272077
690	0.3762528385
691	0.3762447385
692	0.3762182847
693	0.3761945554
694	0.3761742812
695	0.376157828
696	0.3761235038
697	0.3761050075
698	0.3760772447
699	0.3760421423
700	0.3760412214
701	0.3760145609
702	0.3759901199
703	0.3759592662
704	0.3759385358
705	0.3759288117
706	0.3759108588
707	0.3758951216
708	0.3758755853
709	0.3758601221
710	0.3758265496
711	0.3758030139
712	0.3757846182
713	0.3757659687
714	0.3757513186
715	0.3757449059
716	0.3757314578
717	0.3757050909
718	0.375704376
719	0.3756885141
720	0.3756549113
721	0.3756398238
722	0.3756130593
723	0.3755988986
724	0.3755590109
725	0.3755140444
726	0.3754905054
727	0.3754779038
728	0.3754483099
729	0.3754326075
730	0.3754038402
731	0.3754000056
732	0.375370901
733	0.3753702168
734	0.3753381994
735	0.375318736
736	0.3753179994
737	0.3752940694
738	0.3752625002
739	0.3752618846
740	0.3752612962
741	0.3752299974
742	0.3752088085
743	0.3751835796
744	0.3751488161
745	0.3751255326
746	0.375106849
747	0.3751062811
748	0.3750799664
749	0.3750511678
750	0.3750305633
751	0.3750029574
752	0.3749908344
753	0.3749592434
754	0.3749314939
755	0.3749138038
756	0.3748873682
757	0.3748867309
758	0.3748748442
759	0.374861303
760	0.3748422836
761	0.3748144985
762	0.3748137258
763	0.3748053272
764	0.3747803732
765	0.3747500676
766	0.3747190633
767	0.3747162976
768	0.37469585
769	0.3746609971
770	0.374660511
771	0.3746470702
772	0.3746304609
773	0.3746208158
774	0.3745988025
775	0.3745733587
776	0.3745571497
777	0.3745357404
778	0.3745348731
779	0.3745160919
780	0.3744874544
781	0.3744701399
782	0.3744409634
783	0.3744208814
784	0.3743884246
785	0.3743819418
786	0.3743589545
787	0.3743501575
788	0.3743193912
789	0.3743149031
790	0.374307378
791	0.3742843105
792	0.3742837642
793	0.3742666473
794	0.3742556328
795	0.3742419082
796	0.3742266825
797	0.3742049085
798	0.3742044754
799	0.374204023
